Expedient,date,denomination,class-id,image,url                                                                                                                                                                                                                
2091217,22/08/2018,BLUELAND,31,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA1NA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091217                                                                            
2091218,22/08/2018,COFFE&ART,30,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA1NQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091218                                                                           
2091219,22/08/2018,BARRIO BRAVO CHETUMAL,24,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA1Ng==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091219                                                               
2091220,22/08/2018,MAGY BRITE,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA1Nw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091220                                                                           
2091223,22/08/2018,VISIONQR,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA1OA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091223                                                                            
2091230,22/08/2018,RUSTICO & COLTIN MÉXICO,18,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA1OQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091230                                                             
2091234,22/08/2018,GARTEN AWNINGS ONE,22,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2MA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091234                                                                  
2091235,22/08/2018,SHADES DE MÉXICO,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2MQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091235                                                                    
2091236,22/08/2018,NAÏVE BIOTECHNOLOGIES,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2Mg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091236                                                                
2091237,22/08/2018,CERTEXA INTEGRANDO NEGOCIOS,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2Mw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091237                                                         
2091241,09/08/2018,LA MARIMBA TOURS,39,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2NA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091241                                                                    
2091242,09/08/2018,PREZISO,40,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2NQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091242                                                                             
2091243,09/08/2018,,5,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2Ng==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091243                                                                                     
2091244,09/08/2018,,5,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2Nw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091244                                                                                     
2091245,09/08/2018,,1,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2OA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091245                                                                                     
2091246,09/08/2018,,5,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA2OQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091246                                                                                     
2091247,09/08/2018,,5,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3MA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091247                                                                                     
2091250,09/08/2018,,5,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3MQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091250                                                                                     
2091251,09/08/2018,EMY DELI,43,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3Mg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091251                                                                            
2091253,09/08/2018,H U,39,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3Mw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091253                                                                                 
2091254,22/08/2018,,31,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3NA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091254                                                                                    
2091255,22/08/2018,INCOR,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3NQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091255                                                                               
2091256,22/08/2018,KINDORSE,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3Ng==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091256                                                                            
2091257,22/08/2018,KINDORSE,9,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3Nw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091257                                                                             
2091258,22/08/2018,HABANERO NEGRO,42,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3OA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091258                                                                      
2091259,09/08/2018,H U,6,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA3OQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091259                                                                                  
2091260,22/08/2018,NOVAPUMPS,7,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4MA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091260                                                                            
2091261,09/08/2018,H U,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4MQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091261                                                                                 
2091262,09/08/2018,RANCHO FERRERIA PRODUCE,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4Mg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091262                                                             
2091263,09/08/2018,EL CEBERETE,43,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4Mw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091263                                                                         
2091264,09/08/2018,LA SOMBRERUDA,30,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4NA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091264                                                                       
2091265,09/08/2018,TACOS TATANI BIEN REPORTADOS,43,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4NQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091265                                                        
2091266,09/08/2018,JALADOS,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4Ng==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091266                                                                             
2091267,09/08/2018,COCO LO BAMPO,43,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4Nw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091267                                                                       
2091268,09/08/2018,FARMALUX DIA Y NOCHE VELANDO POR  TI,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4OA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091268                                                
2091271,22/08/2018,WAT STUDIO,37,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA4OQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091271                                                                          
2091273,22/08/2018,MAGNA OLIVA,29,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5MA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091273                                                                         
2091274,22/08/2018,WE ARE TODOS WAT,41,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5MQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091274                                                                    
2091275,22/08/2018,WE ARE TODOS WAT,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5Mg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091275                                                                    
2091276,22/08/2018,SISTEMA INTEGRAL PARA CAJAS DE AHORRO Y PRÉSTAMO S CAP,9,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5Mw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091276                               
2091277,22/08/2018,YOHTZIN,30,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5NA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091277                                                                             
2091278,22/08/2018,MARKUP,45,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5NQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091278                                                                              
2091279,22/08/2018,HIGH VISION,42,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5Ng==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091279                                                                         
2091281,22/08/2018,DOS CULTURAS CAFE DE ALTURA,30,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5Nw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091281                                                         
2091282,22/08/2018,PIOTLCALLI ELKAR,43,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5OA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091282                                                                    
2091283,22/08/2018,HANDICRAFT BY 7481,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODA5OQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091283                                                                  
2091285,22/08/2018,YAEL,25,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwMA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091285                                                                                
2091286,22/08/2018,YO CLAVERA,21,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwMQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091286                                                                          
2091287,22/08/2018,YO CALAVERA,14,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwMg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091287                                                                         
2091288,22/08/2018,ROCKABILLY STUDIOS ENTERTAINMENT,41,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwMw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091288                                                    
2091289,22/08/2018,EDEN'S SPA,44,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwNA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091289                                                                          
2091290,22/08/2018,MD CODES,42,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwNQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091290                                                                            
2091291,22/08/2018,MD CODES,41,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwNg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091291                                                                            
2091292,22/08/2018,TGI TRAPOS INDUSTRIALES,21,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwNw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091292                                                             
2091293,22/08/2018,LOS CHABOCHOS,43,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwOA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091293                                                                       
2091294,22/08/2018,DESTINY BAJASUR,39,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEwOQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091294                                                                     
2091295,22/08/2018,PUPPY EYES,9,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExMA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091295                                                                           
2091296,22/08/2018,MANU DARVESH,45,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExMQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091296                                                                        
2091298,22/08/2018,MD CODES,16,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExMg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091298                                                                            
2091299,22/08/2018,PROEVENT,41,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExMw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091299                                                                            
2091300,22/08/2018,,36,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExNA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091300                                                                                    
2091301,22/08/2018,DOLANWALTE,41,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExNQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091301                                                                          
2091302,22/08/2018,H CENTER,44,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExNg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091302                                                                            
2091304,22/08/2018,H CENTER THE PERFORMANCE & NUTRITION EXPERTS,44,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExNw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091304                                        
2091305,22/08/2018,H PERFORMANCE,5,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExOA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091305                                                                        
2091306,22/08/2018,GRUPO MEDICO AG NATURALMENTE,44,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODExOQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091306                                                        
2091307,22/08/2018,MATELECTRO,1,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyMA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091307                                                                           
2091308,22/08/2018,TEC-REP,1,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyMQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091308                                                                              
2091309,22/08/2018,VANGARDA HABITAT DIGITAL,37,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyMg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091309                                                            
2091311,22/08/2018,BOLI DRINK,30,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyMw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091311                                                                          
2091314,22/08/2018,PECOS BEANS,31,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyNA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091314                                                                         
2091315,22/08/2018,U URBANA,20,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyNQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091315                                                                            
2091319,22/08/2018,PSICOTAP,44,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyNg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091319                                                                            
2091322,22/08/2018,MOTIVAHYBRID,9,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyNw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091322                                                                         
2091323,22/08/2018,ROLOZA,37,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyOA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091323                                                                              
2091324,22/08/2018,MOTIVAHYBRID,10,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEyOQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091324                                                                        
2091326,22/08/2018,DIVINA,9,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzMA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091326                                                                               
2091327,22/08/2018,DIVINA,44,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzMQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091327                                                                              
2091334,22/08/2018,CRONOGRAMA,41,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzMg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091334                                                                          
2091336,22/08/2018,PENSION POLICY INTERNATIONAL,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzMw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091336                                                        
2091338,22/08/2018,YAAKUN FLORES,31,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzNA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091338                                                                       
2091340,22/08/2018,MOTIVA,9,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzNQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091340                                                                               
2091341,22/08/2018,YAAKUN FLORES,39,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzNg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091341                                                                       
2091342,22/08/2018,YAAKUN FLORES,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzNw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091342                                                                       
2091343,22/08/2018,MOTIVA,10,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzOA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091343                                                                              
2091345,22/08/2018,,9,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODEzOQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091345                                                                                     
2091346,22/08/2018,,10,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODE0MA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091346                                                                                    
2091347,22/08/2018,PAIPAI ECO TOURISM PARK,25,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODE0MQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091347                                                             
2091353,22/08/2018,ALIANZA ANTICÁNCER INFANTIL,44,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODE0Mg==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091353                                                         
2091355,22/08/2018,TRABAJOENRESTAURANTES.COM,35,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODE0Mw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091355                                                           
2091356,22/08/2018,COMUNI-K,44,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODE0NA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091356                                                                            
2091357,22/08/2018,DCV ROCCA,25,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODE0NQ==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091357                                                                           
2091358,22/08/2018,COMUNI-K,25,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODE0Ng==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091358                                                                            
2091359,27/11/2017,CENTRO DE BACHILLERATO TECNICO COMERCIAL HIDALGO,41,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODE0Nw==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/1985/2091359                                    
2091360,22/08/2018,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN FACULTAD DE ARTES ESCÉNICAS FAE FACULTAD DE ARTES ESCÉNICAS,14,http://siga.impi.gob.mx/ImagenFichaServlet?param=Nzk1ODE0OA==,http://vidoc.impi.gob.mx/ViDoc/visor.do?usr=VIDOC&texp=MA&tdoc=E&id=MA/M/19
